id,title,published_at,views,likes,comments,duration_seconds
jwbG_m-X-gE,Release Notes: Building Gemini's coding capabilities,2025-06-16 17:01:59+00:00,16178,426,39.0,3628
zgEUfr48PmE,How to make the most out of a GDG event?,2025-06-17 23:00:59+00:00,6188,133,3.0,40
srQpWTIcN_A,What advice would you give to your younger self?,2025-06-18 04:01:05+00:00,4045,118,1.0,26
0qhKmtsfBaw,Google Wallet Passes: Are you making the most of your links?,2025-06-18 16:46:22+00:00,2593,99,8.0,2449
LtRi2F3JRpo,Deep dive on long context in Gemma 3,2025-06-18 20:00:13+00:00,4406,181,9.0,279
UIntXBP--gI,Build AI agents for e-commerce with ADK + Vector Search,2025-06-18 23:00:36+00:00,13740,365,14.0,1812
10deLft7KIE,How would you design your load balancing algorithm? Go!,2025-06-23 13:00:03+00:00,3855,143,28.0,57
3GYgkcFd_ec,Deep dive on multilinguality in Gemma 3,2025-06-24 23:00:03+00:00,4331,167,9.0,256
NW0NssvEeDs,Top 3 use cases for retraining Gemma?,2025-06-25 04:00:22+00:00,7849,171,4.0,35
tVh5R1Z1q9k,Gemini CLI: Vibe coding and deploying Hello World to Cloud Run!,2025-06-25 13:00:49+00:00,40125,909,27.0,59
YxtLYKHntVs,“Just one more line of code before lunch!”,2025-06-26 23:00:38+00:00,8952,148,7.0,16
GFQaUd1JF-U,"Announcing Angular v20, find us on Bluesky, and more! - Google Developer News June 2025",2025-06-27 17:00:31+00:00,8748,194,23.0,149
xbTIzTjpOTQ,Why does this one conditional line log? Go!,2025-06-30 13:01:48+00:00,8027,146,20.0,23
LaLK_FyZOdc,Build a mobile app using the Home APIs on iOS,2025-06-30 23:00:13+00:00,4167,137,11.0,970
QDS3aO2xeJY,Build a mobile app using the Home APIs on iOS,2025-07-01 04:00:42+00:00,7249,187,2.0,35
sS7afkjLc8U,Just in from the news desk 📰: Stitch from Google Labs is here!,2025-07-01 16:01:29+00:00,13896,508,14.0,57
cMx4s-rwodk,Why centering a div is harder than it seems,2025-07-01 23:00:42+00:00,7223,175,7.0,46
UjhpIR79bOU,Biggest shift when moving from IC to manager?,2025-07-02 04:00:39+00:00,5319,97,4.0,26
2cFKh6x6KUc,Controlling a remote-controlled car with Gemma 3n on-device,2025-07-02 18:18:36+00:00,17640,244,10.0,54
K4vXvaRV0dw,Release Notes: Gemini's multimodality,2025-07-02 23:01:04+00:00,26834,730,40.0,2658
Gs112JPIsgM,Enable Google Pay in Android WebView,2025-07-03 04:00:31+00:00,4488,103,7.0,170
9OJ6HbJGWH0,Can you explain whats happening with this output? Go!,2025-07-07 13:00:23+00:00,21332,364,43.0,20
f7q3amS7uOY,Create advanced automations using the Home APIs on Android,2025-07-07 23:00:21+00:00,4034,134,12.0,850
zUStGLjVw70,Create advanced automations using the Home APIs on Android,2025-07-08 04:01:20+00:00,11138,341,3.0,27
W3puqnctOh8,These bugs are really playing hide and seek.,2025-07-09 04:00:40+00:00,7385,85,10.0,13
zYz2dPKnNa0,Level up your AI prompting with this tip,2025-07-10 04:01:14+00:00,10959,530,7.0,49
yvmeHLEQI44,Just in from the news desk 📰: Big milestones for the Gemini family of models!,2025-07-10 16:11:45+00:00,9954,349,10.0,62
EmPZx26--7o,Typing on someone else’s keyboard is harder than you think,2025-07-11 23:00:13+00:00,19125,222,11.0,33
RV5lzb8O2Ng,What’s the shortest way to output the alphabet in Python? Go!,2025-07-14 13:00:49+00:00,18946,199,37.0,29
BLU5RupzCic,Home APIs Tips & Tricks,2025-07-14 23:03:06+00:00,3416,114,5.0,722
Tk-ycqBPpig,Home APIs tips & tricks,2025-07-15 04:00:36+00:00,5632,258,5.0,50
2i8z6NyEQaQ,Get privacy by default with Zero-Knowledge Proofs (ZKP),2025-07-16 04:00:03+00:00,10583,296,9.0,42
gPoz3Lt5gv8,Just JavaScript things. 🙃,2025-07-17 04:00:49+00:00,33239,504,31.0,27
fviyXkQX2a8,Just in from the news desk 📰: Gemini-powered coding tools are now live in Google Colab!,2025-07-17 16:01:11+00:00,7584,231,3.0,46
3NxT1kxL1nY,Veo 3 is now available in preview!,2025-07-17 16:55:10+00:00,86338,1161,91.0,111
lBDpWS0GHNw,It's all just a part of the coding process. 🫧,2025-07-18 04:00:58+00:00,25500,357,18.0,15
pCKrOu6jdR4,What Gemini feature do you want to try? ✨,2025-07-18 19:16:24+00:00,7174,193,5.0,46
2iH-c6HXk-Y,Solve this with as few characters as possible in any language! Go!,2025-07-21 13:00:06+00:00,15704,165,52.0,29
iLfEzd1l7p8,How do LLMs work? 🤔,2025-07-21 23:00:48+00:00,10220,257,15.0,29
ZIbw3Ip-jY8,Here’s how you actually center a div in modern CSS,2025-07-23 04:00:41+00:00,8874,287,17.0,51
GbL9fVQkTi8,"Season 3 - Adrit Rao: AI student, app developer, and researcher",2025-07-23 13:25:02+00:00,276,3,0.0,2836
itoaY1vG2qE,Indira Negi - Investing in AI hardware for health,2025-07-23 13:25:18+00:00,104,3,0.0,3744
U1EzQsYugW0,Jeanine Banks - Leveraging the power of the developer community,2025-07-23 13:25:41+00:00,111,1,0.0,3392
70POPwwbDWM,"Kathleen Kenealy - Creating, building, and releasing Gemma, Google's open model family",2025-07-23 13:25:59+00:00,283,9,0.0,3289
gideh1qZrFo,"Tris Warkentin - Introducing Gemma, Google's family of open models",2025-07-23 13:26:11+00:00,150,2,0.0,3482
9j0poExXp2c,Upskill your career in AI,2025-07-23 13:26:21+00:00,671,22,0.0,3121
JDaMpwCiiJU,François Chollet - Creating Keras 3,2025-07-23 13:26:30+00:00,1288,38,5.0,3932
e2z8mtFPh1s,Google I/O Special with Mat Velloso and Logan Kilpatrick,2025-07-23 13:26:40+00:00,277,8,3.0,3618
jd3JAb6PdYA,Google I/O Special with Sachin Kotwani,2025-07-23 13:26:51+00:00,163,4,0.0,2414
e85KF4hgC-Q,"Season 4 - Gus and Ashley talk AI visionaries, developers, and consumers",2025-07-23 13:29:45+00:00,101,6,0.0,1372
1NJX4sP6ubc,How AI is revolutionizing sign language recognition with Sam Sepah and Thad Starner,2025-07-23 13:30:09+00:00,158,8,0.0,4563
Zcw427_z6Xg,3-step approach to mobile app compliance with Checks co-founders Fergus Hurley and Nia Castelly,2025-07-23 13:30:22+00:00,116,4,0.0,3618
35VxCFuXx8A,Responsible AI panel at DevFest Silicon Valley 2024,2025-07-23 13:30:41+00:00,146,5,2.0,2775
7w_ARTj-mvM,NotebookLM with Steven Johnson and Raiza Martin,2025-07-23 13:30:53+00:00,975,33,2.0,3709
sgx7-NAJJ0g,Digital health with Dr. Oliver Aalami,2025-07-23 13:31:04+00:00,285,13,0.0,2754
XbvHlMTzi6E,"The intersection of AI, art, and design with Douglas Edric Stanley and Anthony Masure",2025-07-23 13:31:13+00:00,244,14,0.0,2836
PALRROM2JWE,Building human-centered AI products with Ovetta Sampson,2025-07-23 13:31:22+00:00,594,15,2.0,3469
EgwACAuk2Lg,How are you using AI in your development workflow? 💭,2025-07-23 16:44:35+00:00,5981,217,5.0,55
zUB5A_ezIOU,Building a frontier AI search experience,2025-07-23 19:01:02+00:00,6179,187,20.0,2597
2won7XwyZwQ,Should your mobile AI run on-device or in the cloud?,2025-07-24 04:00:07+00:00,11990,376,3.0,47
AM3yzTDW65U,Season 5 - Shaping the agentic future with Clement Farabet,2025-07-24 15:00:15+00:00,3355,109,9.0,3157
y2AmaeDLOYY,The future is Autonomous AI agents,2025-07-24 19:01:02+00:00,7503,164,2.0,30
bM0-K18bUfU,"Announcing Gemma 3n, Imagen 4, and more! - Google Developer News June 2025",2025-07-24 23:00:41+00:00,10081,278,23.0,229
fTCynQwzA-I,"Test Driven Development (TDD) can be a drag, but it doesn’t have to be. Here’s how!",2025-07-25 04:00:59+00:00,23678,663,17.0,50
vfz-QklczRI,Top #GoogleIO takeaway? 💡,2025-07-26 01:01:03+00:00,6759,206,6.0,41
SqTl7fFtqiQ,Talk to Gemini with the Live API - Race car demo,2025-07-26 16:00:48+00:00,3272,128,9.0,109
HqCob_4hxjE,Does any language beat Python here in both character count and readability? Go!,2025-07-28 16:02:51+00:00,10667,156,11.0,37
xmT8HiB2o8U,Red flag or green flag? (I/O Connect Berlin),2025-07-29 01:00:54+00:00,15929,374,24.0,74
51fw-SLlwPg,How to keep your mobile app responsive: background threads,2025-07-29 16:00:10+00:00,7864,330,6.0,46
9tqcq1bwm9o,Gemini Code Assist: How to customize a public style guide and apply it to your whole team,2025-07-29 19:00:31+00:00,4927,297,4.0,110
FIJD8dSrE2w,Stop rewriting code every time product requirements shift!,2025-07-30 01:00:19+00:00,6978,345,19.0,71
aH--_8-2TdE,Generalist or specialist? Pick a side 👀,2025-07-30 19:00:01+00:00,12915,184,11.0,29
d6975pmWfr4,App loading slowly? Unoptimized images may be the cause. ☝️ (3 tips to fix),2025-07-31 04:00:50+00:00,9150,386,7.0,46
rvI1gb-UA20,Just in from the news desk 📰: Just in from the news desk: Gemma 3n for mobile-first AI,2025-07-31 23:00:56+00:00,8186,404,11.0,55
ZmtbzEYxBz0,How has your AI use changed over the past year? 🤔,2025-08-01 19:00:38+00:00,6690,158,8.0,50
0lBSjNBuQX4,What will this print and why doesn’t it change when updated? Go!,2025-08-04 13:00:06+00:00,17041,243,12.0,20
5RRxu7QBcvI,Level up your code: 3 practices for success,2025-08-05 01:00:09+00:00,13390,415,8.0,53
4xlwlU6h-wM,Building real-time voice applications with Live API,2025-08-05 23:00:16+00:00,7830,239,15.0,2414
n_fb2t8QLAs,Just in from the news desk 📰: Tune into the Kaggle Game Arena,2025-08-06 16:03:40+00:00,11062,538,11.0,74
AVuFNjyU4Pc,POV: You've been coding solo for years and suddenly a wild programmer appears.,2025-08-07 01:00:10+00:00,105614,878,15.0,5
-miCU6FGfMg,"Get code samples, AI patterns, and prompt libraries to help you build with Angular",2025-08-07 17:08:38+00:00,12197,510,8.0,77
YmzHUQRPg0k,Improve web accessibility! Start here.,2025-08-07 23:00:40+00:00,2852,87,2.0,54
hwLgGcwUTk8,Which new tools are you most excited to build with?,2025-08-08 19:00:48+00:00,8574,322,10.0,55
7-p_5GVi2PU,What is the minimum time to deploy all services? How would you schedule them across servers? Go!,2025-08-11 13:00:25+00:00,16034,502,41.0,45
njDochQ2zHs,"Demis Hassabis on shipping momentum, better evals and world models",2025-08-11 17:00:17+00:00,70282,1869,115.0,1870
yZR3isciWd8,Automate issue triage & pull request reviews with Gemini CLI Github Action,2025-08-12 16:01:40+00:00,15841,544,20.0,356
